CalcLocation,Name,Address,City,State,Zip,formated_phone,Status,Icon,Type
"33.88442400,-117.99555400",BEST CARE PHARMACY,5317 BEACH BLVD,BUENA PARK,CA,90621,714-670-7979,unknown,small_yellow,Pharmacy
"34.41578300,-118.57702800",KAISER PERMANENTE PHARMACY #281,27107 TOURNEY ROAD,SANTA CLARITA,CA,91355,866-362-5484,not participating,measle_white,Pharmacy
"33.78957600,-118.18858400",PCH MEDICAL PHARMACY,306 E PACIFIC COAST HWY SUITE 101,LONG BEACH,CA,908060813,562-591-7655,not participating,measle_white,Pharmacy
"34.55705700,-118.04888900",KAISER PERMANENTE PHARMACY #288,4502 EAST AVENUE S,PALMDALE,CA,93552,866-362-5490,not participating,measle_white,Pharmacy
"34.21973400,-118.43084100",KAISER PERMANENTE PHARMACY #279,13652 CANTARA ST,PANORAMA CITY,CA,91402,866-362-5184,not participating,measle_white,Pharmacy
"34.03806500,-118.37593700",KAISER FDN HSP PHY 305 OUT,6041 CADILLAC AVE RM A 1ST FLR,LOS ANGELES,CA,90034,866-391-2673,not participating,measle_white,Pharmacy
"34.03854000,-118.37273600",KAISER PERMANENTE PHARMACY,5971 VENICE BOULEVARD,LOS ANGELES,CA,90034,866-391-2676,unknown,small_yellow,Pharmacy
"38.15776500,-121.69373000",DELTA PHARMACY,407 N MAIN ST,RIO VISTA,CA,945711616,707-374-5135,not participating,measle_white,Pharmacy
"37.75733900,-122.24905600",WALGREENS #9248,2300 OTIS DR,ALAMEDA,CA,945015722,510-523-7043,open,small_green,Pharmacy
"37.57605200,-122.34929000",WALGREENS #12257,260 El Camino Real,BURLINGAME,CA,940105120,650-342-2977,open,small_green,Pharmacy
"37.69961400,-122.46607300",WALGREENS #324,216 WESTLAKE CENTER,DALY CITY,CA,940151430,650-756-4535,open,small_green,Pharmacy
"34.14553700,-118.12895200",RITE AID PHARMACY 06255,1038 EAST COLORADO BOULEVARD,PASADENA,CA,911062323,626-796-5539,open,small_green,Pharmacy
"38.35191700,-121.95215100",CVS Pharmacy #09917,625 ELMIRA RD,VACAVILLE,CA,95687,707-451-0285,open,small_green,Pharmacy
"37.60348400,-122.39596200",WALGREENS #625,615 BROADWAY,MILLBRAE,CA,940301909,650-697-0166,open,small_green,Pharmacy
"37.37901600,-122.07188700",WALGREENS #689,121 E EL CAMINO REAL,MOUNTAIN VIEW,CA,940402701,650-961-7555,open,small_green,Pharmacy
"36.80103300,-119.75458000",RITE AID PHARMACY 06289,4593 NORTH CEDAR AVENUE,FRESNO,CA,937262540,559-222-2472,open,small_green,Pharmacy
"38.63602300,-121.50565100",WALMART PHARMACY 10-2598,3661 TRUXEL ROAD,SACRAMENTO,CA,95833,916-928-9673,open,small_green,Pharmacy
"37.80041100,-122.43857100",WALGREENS #6625,2141 CHESTNUT STREET,SAN FRANCISCO,CA,941232708,415-567-9320,open,small_green,Pharmacy
"37.75396200,-122.41882400",WALGREENS #4231,2690 MISSION,SAN FRANCISCO,CA,941103102,415-285-1576,open,small_green,Pharmacy
"37.78600600,-122.40829400",WALGREENS #890,135 POWELL,SAN FRANCISCO,CA,941022203,415-391-7222,open,small_green,Pharmacy
"37.35171400,-121.96156000",WALGREENS #15246,2140 El Camino Real,SANTA CLARA,CA,950504052,408-246-1054,open,small_green,Pharmacy
"37.64418700,-122.45139200",WALGREENS #15397,2238 WESTBOROUGH BLVD,S SAN FRANCISCO,CA,940805405,650-873-0551,open,small_green,Pharmacy
"33.84681500,-117.54232100",SAVON PHARMACY #2796,1260 E ONTARIO AVE,CORONA,CA,92881,951-734-9765,open,small_green,Pharmacy
"34.20018500,-118.44860700",YOUNG'S PHARMACY,7134 VAN NUYS BLVD,VAN NUYS,CA,914053005,818-787-9339,open,small_green,Pharmacy
"32.75532300,-117.09584800",KHANH PHARMACY,4575 EL CAJON BLVD STE C,SAN DIEGO,CA,92115,619-280-0199,not participating,measle_white,Pharmacy
"33.86115800,-118.14295700",WALGREENS #6903,5829 LAKEWOOD BLVD,LAKEWOOD,CA,907121001,562-817-5690,open,small_green,Pharmacy
"33.57154900,-117.70169200",KAISER PERMANENTE PHARMACY 390,24502 PACIFIC PARK DR 2ND FLOOR,ALISO VIEJO,CA,92656,866-352-9101,not participating,measle_white,Pharmacy
"33.92461000,-117.87629000",KAISER PERMANENTE NO 371,1900 E LAMBERT RD,BREA,CA,92821,866-342-2806,not participating,measle_white,Pharmacy
"33.99785000,-118.42352600",KAISER PERMANENTE PHARMACY,12001 W WASHINGTON BLVD,LOS ANGELES,CA,90066,866-391-2677,not participating,measle_white,Pharmacy
"32.58508200,-117.03357100",KAISER PERMANENTE PHARMACY NO 216,4650 PALM AVE,SAN DIEGO,CA,92154,866-385-2645,not participating,measle_white,Pharmacy
"34.50567500,-117.32580300",KAISER PERMANENTE PHARMACY NO 157,14011 PARK AVE,VICTORVILLE,CA,92392,866-352-1151,not participating,measle_white,Pharmacy
"33.75379600,-117.95434000",SAIGON PHARMACY,14384 BROOKHURST ST,GARDEN GROVE,CA,92843,714-531-1740,open,small_green,Pharmacy
"33.76032400,-117.95117800",ANA PHARMACY,10191 WESTMINSTER AVE,GARDEN GROVE,CA,92843,714-530-3784,unknown,small_yellow,Pharmacy
"33.59112400,-117.23633700",KAISER PERMANENTE PHARMACY NO 514,36450 INLAND VALLEY DR,WILDOMAR,CA,92595,866-370-1940,not participating,measle_white,Pharmacy
"34.06537700,-117.98588400",KAISER FOUNDATION HOSPITAL PHARM,1011 BALDWIN PARK BLVD 1ST FLOOR,BALDWIN PARK,CA,91706,626-851-5552,unknown,small_yellow,Pharmacy
"33.10171800,-117.31160300",RITE AID PHARMACY 05622,7100 AVENIDA ENCINAS  C,CARLSBAD,CA,920094657,760-431-7380,open,small_green,Pharmacy
"34.06537700,-117.98588400",KAISER PERMANENTE PHARMACY 559,1011 BALDWIN PARK BLVD 2ND FLR,BALDWIN PARK,CA,91706,866-319-4264,not participating,measle_white,Pharmacy
"36.59541600,-121.84428400",SAFEWAY PHARMACY #2841,815 CANYON DEL REY,DEL REY OAKS,CA,939405525,831-393-2104,open,small_green,Pharmacy
"33.80826400,-118.33352500",COSTCO PHARMACY #1202,2640 LOMITA BLVD,TORRANCE,CA,905055214,310-891-1026,open,small_green,Pharmacy
"37.95384200,-121.95358700",SAFEWAY PHARMACY #1195,5431 Clayton Rd,CLAYTON,CA,945171039,925-672-2107,open,small_green,Pharmacy
"34.18432500,-118.87472700",ALL MED DRUGS,442 N MOORPARK RD,THOUSAND OAKS,CA,91360,805-495-2110,open,small_green,Pharmacy
"37.79102300,-122.42047900",WALGREENS #887,1524 POLK STREET,SAN FRANCISCO,CA,941093607,415-673-4701,open,small_green,Pharmacy
"33.69980400,-117.98998200",KAISER PERMANENTE PHARMACY 356,18081 BEACH BOULEVARD RM 1110,HUNTINGTON BEACH,CA,92648,866-353-5003,not participating,measle_white,Pharmacy
"33.78672000,-117.94004000",KAISER PERMANENTE PHARMACY 357,12100 EUCLID STREET,GARDEN GROVE,CA,92840,800-776-1318,not participating,measle_white,Pharmacy
"33.67516600,-117.78953400",KAISER PERMANENTE PHARMACY 366,6 WILLARD,IRVINE,CA,92604,866-353-5005,not participating,measle_white,Pharmacy
"39.43687300,-123.80525300",RITE AID PHARMACY 06028,490 SOUTH MAIN STREET,FORT BRAGG,CA,954374806,707-964-1848,open,small_green,Pharmacy
"34.05484700,-118.30886000",KT plaza pharmacy,928 S WESTERN AVE STE 110,LOS ANGELES,CA,90006,213-382-0212,not participating,measle_white,Pharmacy
"38.00121000,-121.28895400",CVS Pharmacy #09916,5070 WEST LN,STOCKTON,CA,95210,209-472-9684,open,small_green,Pharmacy
"34.16222300,-118.25461100",GLENDALE PHARMACY,1122 N BRAND BLVD,GLENDALE,CA,912022547,818-244-3164,not participating,measle_white,Pharmacy
"37.79812900,-121.91774300",SAFEWAY PHARMACY #1211,3496 CAMINO TASSAJARA RD,DANVILLE,CA,945064680,925-736-0346,open,small_green,Pharmacy
"33.78909200,-117.89859100",KAISER PERMANENTE PHARMACY #376,4201 W CHAPMAN,ORANGE,CA,928681505,714-748-6333,not participating,measle_white,Pharmacy
"38.61687200,-121.38193800",RALEY'S PHARMACY #416,3518 MARCONI AVENUE,SACRAMENTO,CA,95821,916-972-7198,open,small_green,Pharmacy
"33.86121900,-118.03112200",KAISER PERMANENTE PHARMACY 383,5 CENTERPOINTE DR,LA PALMA,CA,90623,800-963-2068,not participating,measle_white,Pharmacy
"33.68160700,-117.92003400",RITE AID PHARMACY 06213,3029 HARBOR BOULEVARD,COSTA MESA,CA,926262504,714-434-7485,open,small_green,Pharmacy
"34.17302600,-118.58922100",KAISER PERMANENTE PHARMACY,20940 BURBANK BLVD,WOODLAND HILLS,CA,91367,866-407-7715,not participating,measle_white,Pharmacy
"33.98226400,-118.03824700",RITE AID PHARMACY 06267,6512 COMSTOCK AVENUE,WHITTIER,CA,906014103,562-696-1015,open,small_green,Pharmacy
"34.06813900,-118.12273900",SUN SUN PHARMACY,600 N GARFIELD AVE STE 107A,MONTEREY PARK,CA,91754,626-288-6560,not participating,measle_white,Pharmacy
"34.09092300,-118.35438100",CURSON PHARMACY,7559 SANTA MONICA BLVD,LOS ANGELES,CA,900466406,323-878-2555,not participating,measle_white,Pharmacy
"34.16077800,-118.44889600",MICHAEL'S PHARMACY,4955 VAN NUYS BLVD,SHERMAN OAKS,CA,91403,818-905-0669,open,small_green,Pharmacy
"34.28575600,-118.71953500",KAISER PERMANENTE PHARMACY NO 428,3900 ALAMO ST,SIMI VALLEY,CA,93063,866-407-7718,not participating,measle_white,Pharmacy
"39.39131000,-123.34739100",RITE AID PHARMACY 06034,1730 SOUTH MAIN STREET,WILLITS,CA,954904405,707-459-0554,open,small_green,Pharmacy
"33.68610100,-117.36670700",SAVON PHARMACY #0798,30901 RIVERSIDE DR,LAKE ELSINORE,CA,925304934,951-245-5492,open,small_green,Pharmacy
"37.65328500,-122.08898100",WALGREENS #4659,164 W JACKSON,HAYWARD,CA,945441810,510-781-0900,open,small_green,Pharmacy
"38.74546200,-121.25456800",CVS Pharmacy #16080,1925 Douglas Blvd,ROSEVILLE,CA,95661,916-786-8992,open,small_green,Pharmacy
"33.94656200,-118.24636300",WATTS PROFESSIONAL PHARMACY,9909 Compton Ave,LOS ANGELES,CA,900022850,323-564-3218,not participating,measle_white,Pharmacy
"34.40211300,-119.72397600",RITE AID PHARMACY 05790,1976 CLIFF DRIVE MESA SHOPPING CENTER,SANTA BARBARA,CA,931091504,805-564-6599,open,small_green,Pharmacy
"34.13632100,-118.14923200",CAL OAKS PHARMACY,55 E CALIFORNIA BLVD STE 103,PASADENA,CA,91105,626-795-5956,unknown,small_yellow,Pharmacy
"33.81642700,-118.18249000",CVS Pharmacy #17385,950 E 33rd St,Signal Hill,CA,90755,562-257-1033,open,small_green,Pharmacy
"34.01794600,-118.15034800",CVS Pharmacy #16043,5600 Whittier Blvd,Commerce,CA,90022,323-725-7861,open,small_green,Pharmacy
"33.90644700,-117.47036900",KAISER PERMANENTE PHARMACY 502,10800 MAGNOLIA AVENUE 1ST FLOOR,RIVERSIDE,CA,92505,866-370-1813,not participating,measle_white,Pharmacy
"34.07326600,-117.82947300",VIA VERDE PRESCRIPTION SHOPPE,1152 VIA VERDE AVE,SAN DIMAS,CA,917734401,909-599-3444,open,small_green,Pharmacy
"36.31121600,-119.34841700",SAVE MART PHARMACY,5203 WEST WALNUT AVE,VISALIA,CA,93277,559-625-9888,open,small_green,Pharmacy
"33.90644700,-117.47036900",KAISER PERMANENTE PHARMACY 506,10800 MAGNOLIA AVE 2ND FLOOR,RIVERSIDE,CA,92505,866-370-1893,not participating,measle_white,Pharmacy
"36.61788700,-121.84869400",COSTCO PHARMACY #131,801 TIOGA AVE,SAND CITY,CA,939553050,831-899-2481,open,small_green,Pharmacy
"37.98642300,-121.34224700",Save Mart Pharmacy,4725 QUAIL LAKES DRIVE,STOCKTON,CA,95207,209-952-3599,open,small_green,Pharmacy
"33.88104900,-118.12492900",MEDIC PHARMACY,16900 BELLFLOWER BLVD,BELLFLOWER,CA,90706,562-925-6505,not participating,measle_white,Pharmacy
"38.13319300,-122.21375700",COSTCO PHARMACY #132,198 PLAZA DR,VALLEJO,CA,945913702,707-553-6402,open,small_green,Pharmacy
"38.57391100,-121.46894900",Pucci's Pharmacy,2821 J STREET,SACRAMENTO,CA,958164315,916-442-5891,open,small_green,Pharmacy
"40.58634100,-122.34526000",COSTCO PHARMACY #133,1300 DANA DR,REDDING,CA,960034071,530-222-8097,open,small_green,Pharmacy
"33.93485100,-117.24525500",KAISER PERMANENTE PHARMACY #508,12815 HEACOCK STREET,MORENO VALLEY,CA,92553,866-370-1908,not participating,measle_white,Pharmacy
"34.06537700,-117.98588400",KAISER PERMANENTE PHARMACY 552,1011 BALDWIN PARK BLVD,BALDWIN PARK,CA,91706,866-319-4625,not participating,measle_white,Pharmacy
"33.83517500,-118.11543200",VONS PHARMACY #1638,4226 WOODRUFF AVE,LAKEWOOD,CA,907133143,562-496-4155,open,small_green,Pharmacy
"34.10723400,-117.83140900",KAISER PERMANENTE PHARMACY #553,1255 WEST ARROW HIGHWAY,SAN DIMAS,CA,91773,866-319-4268,not participating,measle_white,Pharmacy
"34.03535400,-118.08831900",KAISER PERMANENTE PHARMACY 022,1550 TOWN CENTER DRIVE,MONTEBELLO,CA,90640,877-425-7616,not participating,measle_white,Pharmacy
"35.38576800,-119.09549500",WALMART PHARMACY 10-2557,8400 ROSEDALE HWY,BAKERSFIELD,CA,933122151,661-588-2378,open,small_green,Pharmacy
"34.04305600,-118.45812000",Medico Pharmacy,11779 SANTA MONICA BLVD,LOS ANGELES,CA,90025,310-444-9011,open,small_green,Pharmacy
"34.06802900,-117.26307000",COSTCO PHARMACY #478,1099 E HOSPITALITY LN,SAN BERNARDINO,CA,924082813,909-478-5662,open,small_green,Pharmacy
"35.35363100,-119.04246700",KAISER PERMANENTE PHARMACY #603,3501 STOCKDALE HWY STE 1605,BAKERSFIELD,CA,93309,800-463-2137,not participating,measle_white,Pharmacy
"35.39510300,-118.95164500",KAISER PERMANENTE PHARMACY 605,3700 MALL VIEW ROAD,BAKERSFIELD,CA,93306,866-319-3581,not participating,measle_white,Pharmacy
"33.85891900,-118.26373400",CROWN DRUGS,657 E UNIVERSITY DR,CARSON,CA,90746,310-323-6193,not participating,measle_white,Pharmacy
"38.46847500,-121.41434100",COSTCO PHARMACY #464,7981 E STOCKTON BLVD,SACRAMENTO,CA,958239606,916-682-7505,open,small_green,Pharmacy
"37.77435600,-122.41424100",CMHS PHARMACY SERVICES,1380 HOWARD ST,SAN FRANCISCO,CA,941032614,415-255-3659,open,small_green,Pharmacy
"35.63750900,-118.40187300",MESA CLINICAL PHARMACY,12608 Mt Mesa Rd 12608 Mountain Mesa Road,LAKE ISABELLA,CA,93240,760-379-6106,open,small_green,Pharmacy
"34.09830600,-117.83367600",SAN DIMAS PHARMACY,1330 W COVINA BLVD,SAN DIMAS,CA,91773,909-599-8369,not participating,measle_white,Pharmacy
"33.99707600,-117.96724400",HALLIBURTON PROFESSIONAL PHARMACY,15932 HALLIBURTON RD,HACIENDA HEIGHTS,CA,917453505,626-369-6286,not participating,measle_white,Pharmacy
"32.78689700,-117.17130000",UNION PHARMACY,2420 ULRIC ST,SAN DIEGO,CA,92111,858-467-9201,not participating,measle_white,Pharmacy
"32.77919900,-117.00823600",SHARP REES STEALY PHARMACY,5525 GROSSMONT CENTER DR,LA MESA,CA,919423009,619-644-6650,not participating,measle_white,Pharmacy
"37.95206800,-121.95501300",WALGREENS #2112,5437 CLAYTON RD,CLAYTON,CA,945171039,925-672-1356,open,small_green,Pharmacy
"37.43121200,-121.92072200",WALMART PHARMACY 10-2119,301 Ranch Dr,MILPITAS,CA,950355100,408-934-0204,open,small_green,Pharmacy
"37.31095800,-121.89543900",WALGREENS #2265,1130 BIRD AVE,SAN JOSE,CA,951251700,408-295-7768,open,small_green,Pharmacy
"35.61248300,-120.68170600",WALMART PHARMACY 10-2099,180 Niblick Rd,PASO ROBLES,CA,934464842,805-238-2626,open,small_green,Pharmacy
"34.22053300,-118.53399200",RELIABLE PHARMACY,18350 ROSCOE BLVD,NORTHRIDGE,CA,913254109,818-885-7722,not participating,measle_white,Pharmacy
"33.66204300,-117.29469800",WALMART PHARMACY 10-2077,31700 Grape St,Lake Elsinore,CA,925329785,951-245-4329,open,small_green,Pharmacy
"37.79774400,-121.92112100",CVS Pharmacy #09296,3420 CAMINO TASSAJARA,DANVILLE,CA,94506,925-736-0262,open,small_green,Pharmacy
"37.86948900,-122.26864600",WALGREENS #15025,2190 Shattuck Ave,BERKELEY,CA,947041307,510-849-4691,open,small_green,Pharmacy
"33.71428000,-116.22552300",RITE AID PHARMACY 05670,82451 C HIGHWAY 111,INDIO,CA,922015654,760-342-7076,open,small_green,Pharmacy
"33.80332900,-118.06660000",LOS ALAMITOS PHARMACY,3801 KATELLA AVE,LOS ALAMITOS,CA,907203389,562-431-2505,open,small_green,Pharmacy
"33.74388900,-117.97401300",ANH NHI PHARMACY,8900 BOLSA AVE STE A,WESTMINSTER,CA,926835437,714-894-4518,not participating,measle_white,Pharmacy
"36.32783200,-119.65766500",RITE AID PHARMACY 05796,707 WEST LACEY BOULEVARD,HANFORD,CA,932304326,559-584-1896,open,small_green,Pharmacy
"33.94764500,-117.39653500",SPENCERS RX,6942 BROCKTON AVE,RIVERSIDE,CA,925063876,951-686-7373,unknown,small_yellow,Pharmacy
"33.70332600,-117.98809500",MEDICAL TOWERS PHARMACY,17822 BEACH BLVD,Huntington Beach,CA,926477101,714-847-6084,unknown,small_yellow,Pharmacy
"39.74215900,-121.84986200",ENLOE OP CENTER PHARMACY,1531 ESPLANADE ROOM 1044,CHICO,CA,95926,530-332-6870,not participating,measle_white,Pharmacy
"37.89944200,-122.30033300",CVS Pharmacy #09086,670 EL CERRITO PLAZA,EL CERRITO,CA,94530,510-524-5895,open,small_green,Pharmacy
"37.54712500,-121.98820200",CVS Pharmacy #09099,4020 FREMONT HUB,FREMONT,CA,94538,510-797-5505,open,small_green,Pharmacy
"37.76558700,-122.24283600",CVS Pharmacy #09128,2314 SANTA CLARA AVE,ALAMEDA,CA,94501,510-523-4929,open,small_green,Pharmacy
"37.82664600,-122.25318200",CVS Pharmacy #09130,175 41st St,OAKLAND,CA,94611,510-658-3496,open,small_green,Pharmacy
"37.79883100,-122.21594200",CVS Pharmacy #09226,3320 FRUITVALE AVE,OAKLAND,CA,94602,510-530-3156,open,small_green,Pharmacy
"37.97606100,-122.02771500",CVS Pharmacy #09238,2677 CLAYTON RD,CONCORD,CA,94519,925-689-2398,open,small_green,Pharmacy
"37.99515000,-122.30184300",CVS Pharmacy #09299,1617 Canyon Dr,PINOLE,CA,945642151,510-724-8880,open,small_green,Pharmacy
"37.89641000,-122.06468800",CVS Pharmacy #09545,1123 S CALIFORNIA BLVD,WALNUT CREEK,CA,94596,925-933-8353,open,small_green,Pharmacy
"37.56772600,-122.02453700",CVS Pharmacy #09600,35720 FREMONT BLVD,FREMONT,CA,94536,510-792-5100,open,small_green,Pharmacy
"37.65230200,-122.09118500",CVS Pharmacy #09622,243 W JACKSON ST,HAYWARD,CA,94544,510-783-0330,open,small_green,Pharmacy
"38.10798500,-122.57906900",CVS Pharmacy #09316,1707 GRANT AVE,NOVATO,CA,94945,415-897-4171,open,small_green,Pharmacy
"37.98148800,-122.56505000",CVS Pharmacy #09370,880 SIR FRANCIS DRAKE BLVD,SAN ANSELMO,CA,94960,415-456-9900,open,small_green,Pharmacy
"38.25888600,-122.03604700",CVS Pharmacy #09371,300 TRAVIS BLVD,FAIRFIELD,CA,94533,707-422-3460,open,small_green,Pharmacy
"38.46006300,-122.71849200",CVS Pharmacy #09393,2075 MENDOCINO AVE,SANTA ROSA,CA,95401,707-542-4182,open,small_green,Pharmacy
"38.00485100,-122.54087900",CVS Pharmacy #09529,442 LAS GALLINAS AVE,SAN RAFAEL,CA,94903,415-479-9171,open,small_green,Pharmacy
"39.75827100,-121.84681100",CVS Pharmacy #09599,801 EAST AVE,CHICO,CA,95926,530-345-1363,open,small_green,Pharmacy
"38.12957000,-121.27462500",CVS Pharmacy #09261,100 WEST LODI AVE,LODI,CA,95240,209-369-3648,open,small_green,Pharmacy
"36.97382300,-122.02425800",CVS Pharmacy #09331,600 FRONT ST,SANTA CRUZ,CA,95060,831-426-7444,open,small_green,Pharmacy
"36.67512900,-121.64283000",CVS Pharmacy #09349,347 E ALISAL ST,SALINAS,CA,93901,831-424-0026,open,small_green,Pharmacy
"36.97485000,-121.96394800",CVS Pharmacy #09597,1750  41st Ave,CAPITOLA,CA,95010,831-476-0400,open,small_green,Pharmacy
"36.44867200,-121.84950200",CVS Pharmacy #09612,NO 6 THE CROSSROADS,CARMEL,CA,93923,831-624-0148,open,small_green,Pharmacy
"37.55048200,-122.31440500",CVS Pharmacy #09554,77 BOVET RD,SAN MATEO,CA,94402,650-349-6303,open,small_green,Pharmacy
"37.66540400,-122.46820100",CVS Pharmacy #09752,375 Gellert Blvd,DALY CITY,CA,94015,650-994-0752,open,small_green,Pharmacy
"37.67019300,-120.99293700",CVS Pharmacy #09248,1700 McHenry Ave,MODESTO,CA,95350,209-529-4813,open,small_green,Pharmacy
"36.73745100,-119.79325100",CVS Pharmacy #09129,1302 FULTON MALL,FRESNO,CA,93721,559-233-7311,open,small_green,Pharmacy
"36.78020000,-119.77443700",CVS Pharmacy #07553,3011 E SHIELDS AVE,FRESNO,CA,93726,559-224-2965,open,small_green,Pharmacy
"36.77874700,-119.82718700",CVS Pharmacy #09537,1325 W Shields Ave,FRESNO,CA,93705,559-224-6963,open,small_green,Pharmacy
"36.29792800,-119.33080200",CVS Pharmacy #09271,3619 W Caldwell Ave.,VISALIA,CA,93277,559-732-5971,open,small_green,Pharmacy
