name,url,street_address,city,state,zip_code,country,phone_number_1,phone_number_2,fax_1,fax_2,email_1,email_2,website,open_hours,latitude,longitude,facebook,twitter,instagram,pinterest,youtube
Palm Springs Supercenter,https://www.walmart.com/store/1832/palm-springs-ca/details,5601 E Ramon Rd,Palm Springs,CA,92264,US,760-322-3906,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.813069,-116.486956,,,,,
Manteca Supercenter,https://www.walmart.com/store/1840/manteca-ca/details,1205 S Main St,Manteca,CA,95337,US,209-824-2000,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",37.785539,-121.218572,,,,,
Hemet Supercenter,https://www.walmart.com/store/1853/hemet-ca/details,1231 S Sanderson Ave,Hemet,CA,92545,US,951-766-1164,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.72639,-117.009917,,,,,
Calexico Supercenter,https://www.walmart.com/store/1859/calexico-ca/details,2540 Rockwood Ave,Calexico,CA,92231,US,760-768-5013,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",32.697644,-115.496576,,,,,
Rialto Supercenter,https://www.walmart.com/store/1862/rialto-ca/details,1366 S Riverside Ave,Rialto,CA,92376,US,909-546-3491,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.0767,-117.3725,,,,,
Porterville Store,https://www.walmart.com/store/1877/porterville-ca/details,1250 W Henderson Ave,Porterville,CA,93257,US,559-783-8195,,,,,,,"monday - friday : 08:00-23:00, saturday : 08:00-23:00, sunday : 08:00-23:00",36.0834328,-119.0453125,,,,,
Barstow Supercenter,https://www.walmart.com/store/1879/barstow-ca/details,301 Montara Rd,Barstow,CA,92311,US,760-252-5000,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.882594,-116.991694,,,,,
Antelope Supercenter,https://www.walmart.com/store/1881/antelope-ca/details,7901 Watt Ave,Antelope,CA,95843,US,916-332-3173,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",38.712775,-121.394667,,,,,
Selma Supercenter,https://www.walmart.com/store/1882/selma-ca/details,3400 Floral Ave,Selma,CA,93662,US,559-891-7190,,,,,,,"monday - friday : 05:00-24:00, saturday : 05:00-24:00, sunday : 05:00-24:00",36.577321,-119.634423,,,,,
Riverside Supercenter,https://www.walmart.com/store/1899/riverside-ca/details,6250 Valley Springs Pkwy,Riverside,CA,92507,US,951-653-4849,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.938582,-117.286158,,,,,
Yuba City Supercenter,https://www.walmart.com/store/1903/yuba-city-ca/details,1150 Harter Rd,Yuba City,CA,95993,US,530-751-0130,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",39.144796,-121.653902,,,,,
Crescent City Supercenter,https://www.walmart.com/store/1910/crescent-city-ca/details,900 E Washington Blvd,Crescent City,CA,95531,US,707-464-1198,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",41.774985,-124.189935,,,,,
Corona Supercenter,https://www.walmart.com/store/1912/corona-ca/details,479 N Mckinley St,Corona,CA,92879,US,951-270-0707,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.89087,-117.517267,,,,,
Yucca Valley Supercenter,https://www.walmart.com/store/1915/yucca-valley-ca/details,58501 29 Palms Hwy,Yucca Valley,CA,92284,US,760-365-7750,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.132285,-116.384378,,,,,
Santee Store,https://www.walmart.com/store/1917/santee-ca/details,170 Town Center Parkway,Santee,CA,92071,US,619-449-7900,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",32.8423055,-116.9903086,,,,,
Highland Supercenter,https://www.walmart.com/store/1914/highland-ca/details,4210 East Highland Avenue,Highland,CA,92346,US,909-425-8846,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",34.137744,-117.194853,,,,,
Rancho Cucamonga Store,https://www.walmart.com/store/1922/rancho-cucamonga-ca/details,12549 Foothill Blvd,Rancho Cucamonga,CA,91739,US,909-899-1441,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.10349,-117.531484,,,,,
Glendora Supercenter,https://www.walmart.com/store/1941/glendora-ca/details,1950 Auto Center Drive,Glendora,CA,91740,US,909-592-4866,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.116431,-117.82595,,,,,
Turlock Store,https://www.walmart.com/store/1963/turlock-ca/details,2111 Fulkerth Rd,Turlock,CA,95380,US,209-634-8543,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",37.509427,-120.873024,,,,,
Clearlake Store,https://www.walmart.com/store/1979/clearlake-ca/details,15960 Dam Rd,Clearlake,CA,95422,US,707-994-6881,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",38.931599,-122.616359,,,,,
Ceres Store,https://www.walmart.com/store/1983/ceres-ca/details,1670 Mitchell Rd,Ceres,CA,95307,US,209-541-0253,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",37.606766,-120.93739,,,,,
Livermore Store,https://www.walmart.com/store/1972/livermore-ca/details,2700 Las Positas Rd,Livermore,CA,94551,US,925-455-0215,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",37.699249,-121.767991,,,,,
Roseville Supercenter,https://www.walmart.com/store/1988/roseville-ca/details,900 Pleasant Grove Blvd,Roseville,CA,95678,US,916-786-6768,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",38.78799,-121.2898911,,,,,
Lompoc Supercenter,https://www.walmart.com/store/1989/lompoc-ca/details,701 W Central Ave,Lompoc,CA,93436,US,805-735-9088,,,,,,,"monday - friday : 05:00-01:00, saturday : 05:00-01:00, sunday : 05:00-01:00",34.662934,-120.465113,,,,,
Upland Store,https://www.walmart.com/store/1992/upland-ca/details,1540 W Foothill Blvd,Upland,CA,91786,US,909-920-4021,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.105919,-117.678367,,,,,
Gilroy Supercenter,https://www.walmart.com/store/2002/gilroy-ca/details,7150 Camino Arroyo,Gilroy,CA,95020,US,408-848-8161,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",37.008583,-121.551183,,,,,
Fresno Supercenter,https://www.walmart.com/store/2001/fresno-ca/details,5125 East Kings Canyon Rd,Fresno,CA,93727,US,559-252-9457,,,,,,,"monday - friday : 06:00-22:00, saturday : 06:00-22:00, sunday : 06:00-22:00",36.738206,-119.721718,,,,,
Tracy Supercenter,https://www.walmart.com/store/2025/tracy-ca/details,3010 W Grant Line Rd,Tracy,CA,95304,US,209-836-5786,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",37.751554,-121.471986,,,,,
Riverside Supercenter,https://www.walmart.com/store/2028/riverside-ca/details,5200 Van Buren Blvd,Riverside,CA,92503,US,951-689-4595,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.93707,-117.455339,,,,,
Union City Store,https://www.walmart.com/store/2031/union-city-ca/details,30600 Dyer St,Union City,CA,94587,US,510-475-5915,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",37.604711,-122.067306,,,,,
Sonora Supercenter,https://www.walmart.com/store/2030/sonora-ca/details,1101 Sanguinetti Road,Sonora,CA,95370,US,209-533-2617,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",37.971663,-120.365778,,,,,
Oxnard Supercenter,https://www.walmart.com/store/2032/oxnard-ca/details,2001 N Rose Ave,Oxnard,CA,93036,US,805-981-4884,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",34.220106,-119.161569,,,,,
Merced Store,https://www.walmart.com/store/2039/merced-ca/details,3055 Loughborough Dr,Merced,CA,95348,US,209-384-1275,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",37.317972,-120.501967,,,,,
Chico Store,https://www.walmart.com/store/2044/chico-ca/details,2044 Forest Ave,Chico,CA,95928,US,530-899-8760,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",39.723234,-121.804955,,,,,
Fairfield Supercenter,https://www.walmart.com/store/2048/fairfield-ca/details,2701 N Texas St,Fairfield,CA,94533,US,707-428-4792,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",38.2790814,-122.0352432,,,,,
Ukiah Store,https://www.walmart.com/store/2052/ukiah-ca/details,1155 Airport Park Blvd,Ukiah,CA,95482,US,707-468-0258,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",39.133706,-123.196989,,,,,
Willows Supercenter,https://www.walmart.com/store/2053/willows-ca/details,470 N Airport Rd,Willows,CA,95988,US,530-934-2054,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",39.525898,-122.21772,,,,,
Jackson Store,https://www.walmart.com/store/2054/jackson-ca/details,10355 Wicklow Way,Jackson,CA,95642,US,209-223-5384,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",38.35793,-120.806192,,,,,
Lake Elsinore Store,https://www.walmart.com/store/2077/lake-elsinore-ca/details,31700 Grape St,Lake Elsinore,CA,92532,US,951-245-5990,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",33.662186,-117.294445,,,,,
Cerritos Supercenter,https://www.walmart.com/store/2082/cerritos-ca/details,12701 Towne Center Dr,Cerritos,CA,90703,US,562-924-1468,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.872491,-118.061727,,,,,
Vista Supercenter,https://www.walmart.com/store/2094/vista-ca/details,1800 University Dr,Vista,CA,92083,US,760-945-7995,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.172662,-117.216625,,,,,
Paso Robles Store,https://www.walmart.com/store/2099/paso-robles-ca/details,180 Niblick Rd,Paso Robles,CA,93446,US,805-238-1212,,,,,,,"monday - friday : 07:00-22:00, saturday : 07:00-22:00, sunday : 07:00-22:00",35.612445,-120.681692,,,,,
Paramount Supercenter,https://www.walmart.com/store/2110/paramount-ca/details,14501 Lakewood Blvd,Paramount,CA,90723,US,562-531-8240,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.902464,-118.14535,,,,,
Milpitas Supercenter,https://www.walmart.com/store/2119/milpitas-ca/details,301 Ranch Dr,Milpitas,CA,95035,US,408-934-0304,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",37.431416,-121.921182,,,,,
Los Banos Supercenter,https://www.walmart.com/store/2117/los-banos-ca/details,1575 West Pacheco Blvd,Los Banos,CA,93635,US,209-826-9655,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",37.05397,-120.878932,,,,,
San Diego Store,https://www.walmart.com/store/2150/san-diego-ca/details,710 Dennery Road,San Diego,CA,92154,US,619-428-4000,,,,,,,"monday - friday : 07:00-24:00, saturday : 07:00-24:00, sunday : 07:00-24:00",32.581551,-117.035491,,,,,
Pleasanton Store,https://www.walmart.com/store/2161/pleasanton-ca/details,4501 Rosewood Dr,Pleasanton,CA,94588,US,925-734-8744,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",37.698323,-121.887338,,,,,
San Diego Store,https://www.walmart.com/store/2177/san-diego-ca/details,3382 Murphy Canyon Road,San Diego,CA,92123,US,858-571-6094,,,,,,,"monday - friday : 00:00-24:00, saturday : 00:00-24:00, sunday : 00:00-24:00",32.805348,-117.116408,,,,,
Indio Supercenter,https://www.walmart.com/store/2181/indio-ca/details,82-491 Avenue 42,Indio,CA,92203,US,760-262-8004,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.7402813,-116.2292584,,,,,
Woodland Store,https://www.walmart.com/store/2190/woodland-ca/details,1720 E Main St,Woodland,CA,95776,US,530-668-1060,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",38.675429,-121.741011,,,,,
Laguna Niguel Store,https://www.walmart.com/store/2206/laguna-niguel-ca/details,27470 Alicia Pkwy,Laguna Niguel,CA,92677,US,949-360-0758,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",33.563536,-117.713072,,,,,
Torrance Neighborhood Market,https://www.walmart.com/store/2226/torrance-ca/details,19340 Hawthorne Blvd,Torrance,CA,90503,US,310-750-1983,,,,,,,"monday - friday : 06:00-22:00, saturday : 06:00-22:00, sunday : 06:00-22:00",33.855292,-118.352273,,,,,
Anaheim Supercenter,https://www.walmart.com/store/2242/anaheim-ca/details,440 N Euclid St,Anaheim,CA,92801,US,714-491-0744,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.8363,-117.938,,,,,
Oceanside Supercenter,https://www.walmart.com/store/2245/oceanside-ca/details,705 College Blvd,Oceanside,CA,92057,US,760-631-0434,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.241115,-117.29099,,,,,
Foothill Ranch Supercenter,https://www.walmart.com/store/2218/foothill-ranch-ca/details,26502 Towne Centre Dr,Foothill Ranch,CA,92610,US,949-588-7923,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",33.679795,-117.671317,,,,,
El Cajon Supercenter,https://www.walmart.com/store/2253/el-cajon-ca/details,13487 Camino Canada,El Cajon,CA,92021,US,619-561-0828,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",32.822626,-116.901748,,,,,
City Of Industry Supercenter,https://www.walmart.com/store/2251/city-of-industry-ca/details,17150 Gale Ave,City Of Industry,CA,91745,US,626-854-1166,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.998396,-117.932358,,,,,
Clovis Supercenter,https://www.walmart.com/store/2277/clovis-ca/details,323 W Shaw Ave,Clovis,CA,93612,US,559-297-4176,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",36.811301,-119.716929,,,,,
Mountain View Store,https://www.walmart.com/store/2280/mountain-view-ca/details,600 Showers Dr,Mountain View,CA,94040,US,650-917-0796,,,,,,,"monday - friday : 07:00-22:00, saturday : 07:00-22:00, sunday : 07:00-22:00",37.400846,-122.109748,,,,,
Pomona Store,https://www.walmart.com/store/2288/pomona-ca/details,80 Rio Rancho Rd,Pomona,CA,91766,US,909-620-4602,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.029257,-117.757758,,,,,
Chula Vista Store,https://www.walmart.com/store/2291/chula-vista-ca/details,75 North Broadway,Chula Vista,CA,91910,US,619-691-7945,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",32.651877,-117.094289,,,,,
Covina Supercenter,https://www.walmart.com/store/2292/covina-ca/details,1275 N Azusa Ave,Covina,CA,91722,US,626-339-4161,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.102622,-117.909601,,,,,
Stevenson Ranch Store,https://www.walmart.com/store/2297/stevenson-ranch-ca/details,25450 The Old Rd,Stevenson Ranch,CA,91381,US,661-253-1911,,,,,,,"monday - friday : 07:00-24:00, saturday : 07:00-24:00, sunday : 07:00-24:00",34.383447,-118.569255,,,,,
Apple Valley Store,https://www.walmart.com/store/2333/apple-valley-ca/details,20251 Hwy 18,Apple Valley,CA,92307,US,760-946-2030,,,,,,,"monday - friday : 06:00-22:00, saturday : 06:00-22:00, sunday : 06:00-22:00",34.525592,-117.223224,,,,,
Duarte Store,https://www.walmart.com/store/2401/duarte-ca/details,1600 Mountain Ave,Duarte,CA,91010,US,626-359-7708,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",34.134035,-117.9838889,,,,,
Placerville Store,https://www.walmart.com/store/2418/placerville-ca/details,4300 Missouri Flat Rd,Placerville,CA,95667,US,530-621-2917,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",38.704034,-120.828964,,,,,
Rancho Cordova Supercenter,https://www.walmart.com/store/2457/rancho-cordova-ca/details,10655 Folsom Blvd,Rancho Cordova,CA,95670,US,916-361-0296,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",38.5961282,-121.2918143,,,,,
Salinas Supercenter,https://www.walmart.com/store/2458/salinas-ca/details,1800 N Main,Salinas,CA,93906,US,831-751-0231,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",36.717758,-121.650404,,,,,
Rohnert Park Neighborhood Market,https://www.walmart.com/store/2468/rohnert-park-ca/details,901 Golf Course Drive,Rohnert Park,CA,94928,US,707-540-9303,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",38.36144,-122.692596,,,,,
Sacramento Supercenter,https://www.walmart.com/store/2464/sacramento-ca/details,8270 Delta Shores Circle,Sacramento,CA,95832,US,916-665-1011,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",38.459951,-121.490326,,,,,
San Diego Supercenter,https://www.walmart.com/store/2479/san-diego-ca/details,3412 College Ave,San Diego,CA,92115,US,619-858-0071,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",32.741663,-117.053585,,,,,
San Jose Neighborhood Market,https://www.walmart.com/store/2486/san-jose-ca/details,4080 Stevens Creek Blvd,San Jose,CA,95129,US,408-556-4505,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",37.321668,-121.973182,,,,,
Corona Neighborhood Market,https://www.walmart.com/store/2487/corona-ca/details,1560 West Sixth Street,Corona,CA,92882,US,951-393-6405,,,,,,,"monday - friday : 06:00-24:00, saturday : 06:00-24:00, sunday : 06:00-24:00",33.87734,-117.596143,,,,,
Oceanside Supercenter,https://www.walmart.com/store/2494/oceanside-ca/details,2100 Vista Way,Oceanside,CA,92054,US,760-966-0026,,,,,,,"monday - friday : 06:00-23:00, saturday : 06:00-23:00, sunday : 06:00-23:00",33.181302,-117.347277,,,,,
Westminster Store,https://www.walmart.com/store/2495/westminster-ca/details,13331 Beach Blvd,Westminster,CA,92683,US,714-799-0020,,,,,,,"monday - friday : 06:00-01:00, saturday : 06:00-01:00, sunday : 06:00-01:00",33.767668,-117.993504,,,,,
Santa Maria Store,https://www.walmart.com/store/2507/santa-maria-ca/details,2220 S Bradley Rd,Santa Maria,CA,93455,US,805-349-7885,,,,,,,"monday - friday : 07:00-23:00, saturday : 07:00-23:00, sunday : 07:00-23:00",34.919981,-120.419107,,,,,
